Model ID,X,Z,Y,scale_x/y/z,SPARSE_ORIENT,STACK_ORIENT,DENSE_ORIENT,SPARSE_SCALE,STACK_SCALE,DENSE_SCALE
077_PHONE_BASE0,0.096,0.02,0.193,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,0.6,1
077_PHONE_BASE1,0.193,0.018,0.082,0.1,"(0,0,0)","(0,0,90)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.6,1
077_PHONE_BASE2,0.193,0.02,0.095,0.1,"(0,0,0)","(0,0,90)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.6,1
077_PHONE_BASE3,0.193,0.024,0.098,0.1,"(0,0,0)","(0,0,90)","[(180, 0, 0),(180,0,90)]",1,0.6,1
077_PHONE_BASE4,0.193,0.023,0.099,0.1,"(0,0,0)","(0,0,90)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.6,1
079_REMOTECONTROL_BASE0,0.194,0.02,0.048,0.1,"(0,0,0)","(0,0,90)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.8,1
079_REMOTECONTROL_BASE1,0.193,0.022,0.057,0.1,"(0,0,0)","(0,0,90)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.8,1
079_REMOTECONTROL_BASE2,0.065,0.039,0.194,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.8,1
079_REMOTECONTROL_BASE3,0.07,0.024,0.193,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.8,1
079_REMOTECONTROL_BASE4,0.068,0.026,0.193,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.8,1
079_REMOTECONTROL_BASE5,0.062,0.031,0.193,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,0.8,1
079_REMOTECONTROL_BASE6,0.063,0.039,0.193,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,1,1
081_PLAYINGCARDS_BASE0,0.072,0.024,0.114,0.06,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,1,1
081_PLAYINGCARDS_BASE1,0.115,0.024,0.078,0.06,"(0,0,0)","(0,0,90)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,1,1
081_PLAYINGCARDS_BASE2,0.114,0.024,0.076,0.06,"(0,0,0)","(0,0,90)","[(180, 0, 0),(180,0,90),(0, 0, 0),(0,0,90)]",1,1,1
091_KETTLE_BASE0,0.13,0.18,0.18,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
091_KETTLE_BASE1,0.12,0.18,0.18,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
091_KETTLE_BASE2,0.14,0.18,0.19,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
091_KETTLE_BASE3,0.15,0.18,0.19,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
091_KETTLE_BASE4,0.173,0.196,0.175,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
091_KETTLE_BASE5,0.14,0.17,0.2,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
092_NOTEBOOK_BASE0,0.191,0.02,0.125,0.1,"(0,0,0)","(0,0,90)","[(180,0, 90),(180,0,0),(0,0,0),(0,0,90)]",1,0.7,0.9
092_NOTEBOOK_BASE1,0.192,0.022,0.129,0.1,"(0,0,0)","(0,0,90)","[(180,0, 90),(180,0,0),(0,0,0),(0,0,90)]",1,0.7,0.9
092_NOTEBOOK_BASE2,0.15,0.02,0.129,0.1,"(0,0,0)","(0,0,90)","[(180,0, 90),(180,0,0),(0,0,0),(0,0,90)]",1,0.7,0.9
101_MILKTEA_BASE0,0.12,0.193,0.12,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
101_MILKTEA_BASE1,0.08,0.206,0.08,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
101_MILKTEA_BASE2,0.11,0.193,0.11,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
101_MILKTEA_BASE4,0.1,0.212,0.1,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
101_MILKTEA_BASE5,0.119,0.197,0.121,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
101_MILKTEA_BASE6,0.109,0.191,0.109,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
105_SAUCECAN_BASE0,0.09,0.15,0.09,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,1
105_SAUCECAN_BASE2,0.1,0.15,0.1,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,1
105_SAUCECAN_BASE4,0.1,0.15,0.1,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,1
105_SAUCECAN_BASE5,0.08,0.15,0.08,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,1
105_SAUCECAN_BASE6,0.08,0.15,0.08,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,1
107_SOAP_BASE0,0.13,0.02,0.062,0.07,"(0,0,0)","(0,0,90)","[(180,0, 90),(180,0,0)]",1,1,0.9
107_SOAP_BASE1,0.13,0.02,0.062,0.07,"(0,0,0)","(0,0,90)","[(180,0, 90),(180,0,0)]",1,1,0.9
107_SOAP_BASE2,0.13,0.078,0.092,0.07,"(0,0,0)","(0,0,90)","[(180,0, 90),(180,0,0)]",1,1,0.9
107_SOAP_BASE3,0.13,0.073,0.072,0.07,"(0,0,0)","(0,0,90)","[(180,0, 90),(180,0,0)]",1,1,0.9
112_TEABOX_BASE0,0.151,0.11,0.101,0.08,"(0,0,0)","(0,0,90)","[(180,0, 90),(180,0,0)]",1,0.6,0.9
112_TEABOX_BASE1,0.151,0.13,0.141,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,0.6,0.9
112_TEABOX_BASE2,0.081,0.15,0.061,0.08,"(0,0,0)","(90,0,0)","[(180,0, 90),(180,0,0)]",1,0.7,0.9
112_TEABOX_BASE3,0.151,0.13,0.141,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,0.5,0.9
112_TEABOX_BASE4,0.141,0.11,0.141,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,0.6,0.9
112_TEABOX_BASE5,0.141,0.14,0.141,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,0.6,0.9
113_COFFEEBOX_BASE0,0.101,0.13,0.091,0.07,"(0,0,0)","(90,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,0.8,0.9
113_COFFEEBOX_BASE1,0.131,0.11,0.121,0.07,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,0.7,0.9
113_COFFEEBOX_BASE2,0.131,0.11,0.111,0.07,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,0.7,0.9
113_COFFEEBOX_BASE3,0.101,0.13,0.091,0.07,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,0.7,0.9
113_COFFEEBOX_BASE4,0.131,0.12,0.101,0.07,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,0.6,0.9
113_COFFEEBOX_BASE5,0.151,0.11,0.031,0.08,"(0,0,0)","(90,0,90)","[(180,0, 90),(180,0,0)]",1,0.6,0.9
113_COFFEEBOX_BASE6,0.091,0.15,0.101,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.9
114_BOTTLE_BASE1,0.058,0.2,0.058,0.11,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,90,0),(180,0,90),(90,0,90)]",1,1,1
114_BOTTLE_BASE2,0.051,0.21,0.051,0.11,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,90,0),(180,0,90),(90,0,90)]",1,1,1
114_BOTTLE_BASE3,0.052,0.051,0.188,0.11,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,90,0),(180,0,90),(90,0,90)]",1,1,1
114_BOTTLE_BASE4,0.051,0.2,0.051,0.11,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,90,0),(180,0,90),(90,0,90)]",1,1,1
115_PERFUME_BASE0,0.135,0.193,0.057,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
115_PERFUME_BASE1,0.095,0.193,0.075,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
115_PERFUME_BASE2,0.103,0.193,0.062,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
115_PERFUME_BASE3,0.122,0.193,0.111,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
116_KEYBOARD_BASE0,0.194,0.008,0.068,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
116_KEYBOARD_BASE1,0.194,0.028,0.068,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
116_KEYBOARD_BASE2,0.194,0.028,0.068,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
116_KEYBOARD_BASE3,0.194,0.028,0.09,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.8
118_TOOTHPASTE_BASE0,0.063,0.193,0.031,0.1,"(0,0,0)","(0,0,0)","[(90, 0, 0),(90,0,90)]",1,1,0.9
055_SMALLSPEAKER_BASE1,0.07,0.08,0.08,0.8,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180, 90, 0),(180,0,90)]",1,1,1
055_SMALLSPEAKER_BASE2,0.112,0.08,0.112,0.8,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180, 90, 0),(180,0,90)]",1,1,1
055_SMALLSPEAKER_BASE3,0.128,0.08,0.064,0.8,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180, 90, 0),(180,0,90)]",1,1,1
057_TOYCAR_BASE0,0.11,0.101,0.167,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
057_TOYCAR_BASE1,0.089,0.054,0.171,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
057_TOYCAR_BASE2,0.095,0.093,0.171,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
057_TOYCAR_BASE3,0.075,0.051,0.154,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
057_TOYCAR_BASE4,0.107,0.099,0.172,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
057_TOYCAR_BASE5,0.102,0.085,0.171,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
062_PLASTICBOX_BASE0,0.21,0.075,0.161,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
062_PLASTICBOX_BASE1,0.195,0.07,0.195,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
062_PLASTICBOX_BASE2,0.23,0.13,0.23,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
062_PLASTICBOX_BASE3,0.21,0.075,0.18,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
062_PLASTICBOX_BASE4,0.22,0.094,0.17,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
062_PLASTICBOX_BASE5,0.22,0.076,0.16,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
062_PLASTICBOX_BASE6,0.22,0.082,0.15,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
062_PLASTICBOX_BASE7,0.23,0.074,0.13,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
062_PLASTICBOX_BASE8,0.22,0.15,0.17,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
062_PLASTICBOX_BASE9,0.22,0.092,0.15,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
062_PLASTICBOX_BASE10,0.22,0.087,0.16,0.12,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.6
063_TABLETRASHBIN_BASE0,0.15,0.13,0.15,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
063_TABLETRASHBIN_BASE1,0.14,0.14,0.15,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
063_TABLETRASHBIN_BASE2,0.11,0.15,0.1,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
063_TABLETRASHBIN_BASE3,0.15,0.14,0.15,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
063_TABLETRASHBIN_BASE4,0.12,0.14,0.12,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
063_TABLETRASHBIN_BASE5,0.08,0.15,0.1,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
063_TABLETRASHBIN_BASE6,0.15,0.07,0.1,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
063_TABLETRASHBIN_BASE7,0.11,0.15,0.11,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
063_TABLETRASHBIN_BASE8,0.1,0.15,0.11,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
063_TABLETRASHBIN_BASE9,0.125,0.15,0.125,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
063_TABLETRASHBIN_BASE10,0.09,0.15,0.085,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
064_MSG_BASE0,0.088,0.194,0.088,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
064_MSG_BASE1,0.12,0.1,0.12,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
064_MSG_BASE2,0.078,0.1,0.078,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
064_MSG_BASE3,0.078,0.1,0.078,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
064_MSG_BASE4,0.09,0.1,0.09,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
064_MSG_BASE5,0.11,0.15,0.11,0.08,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
065_SOYSAUCE_BASE0,0.06,0.255,0.06,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
065_SOYSAUCE_BASE1,0.09,0.254,0.09,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
065_SOYSAUCE_BASE2,0.115,0.254,0.115,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
065_SOYSAUCE_BASE3,0.09,0.27,0.09,0.9,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
065_SOYSAUCE_BASE4,0.082,0.153,0.083,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
066_VINEGAR_BASE0,0.09,0.24,0.09,0.8,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
066_VINEGAR_BASE1,0.088,0.255,0.088,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
066_VINEGAR_BASE2,0.1,0.255,0.11,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
086_WOODENBLOCK_BASE0,0.102,0.102,0.102,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
086_WOODENBLOCK_BASE1,0.071,0.12,0.071,1.2,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
086_WOODENBLOCK_BASE2,0.131,0.131,0.061,1.2,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
086_WOODENBLOCK_BASE3,0.151,0.052,0.037,1,"(0,0,0)","(90,0,0)","[(180, 0, 0),(180,0,90)]",1,0.8,1
086_WOODENBLOCK_BASE4,0.121,0.153,0.122,1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
087_WATERER_BASE0,0.101,0.101,0.207,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
087_WATERER_BASE1,0.101,0.101,0.204,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
087_WATERER_BASE2,0.072,0.142,0.201,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
087_WATERER_BASE3,0.12,0.135,0.218,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
087_WATERER_BASE4,0.081,0.135,0.218,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
087_WATERER_BASE5,0.086,0.135,0.195,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
087_WATERER_BASE6,0.079,0.125,0.185,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
087_WATERER_BASE7,0.08,0.135,0.185,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.9
088_WINEGLASS_BASE0,0.115,0.2,0.115,0.8,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
088_WINEGLASS_BASE1,0.06,0.2,0.06,0.8,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
088_WINEGLASS_BASE2,0.072,0.2,0.072,0.8,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
088_WINEGLASS_BASE3,0.072,0.18,0.072,0.6,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
088_WINEGLASS_BASE4,0.086,0.195,0.086,0.8,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,0.8
095_GLUE_BASE0,0.065,0.194,0.065,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.9
095_GLUE_BASE1,0.065,0.192,0.065,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.9
095_GLUE_BASE2,0.068,0.193,0.068,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.9
095_GLUE_BASE4,0.08,0.192,0.05,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.9
095_GLUE_BASE5,0.063,0.193,0.063,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.9
095_GLUE_BASE6,0.054,0.193,0.054,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0),(180,90,0),(90,0,0)]",1,1,0.9
099_FAN_BASE0,0.104,0.16,0.088,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.9
099_FAN_BASE1,0.135,0.155,0.118,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.9
099_FAN_BASE2,0.135,0.16,0.115,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.9
099_FAN_BASE3,0.128,0.155,0.102,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.9
099_FAN_BASE4,0.112,0.152,0.08,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.9
099_FAN_BASE5,0.128,0.16,0.104,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.9
099_FAN_BASE6,0.136,0.154,0.096,0.08,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.9
117_WHITEBOARDERASER_BASE0,0.114,0.02,0.06,0.06,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,0.9
094_REST_BASE0,0.193,0.089,0.024,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,1
094_REST_BASE1,0.193,0.071,0.03,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,1
094_REST_BASE2,0.192,0.091,0.062,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,1
094_REST_BASE3,0.071,0.106,0.193,0.1,"(0,0,0)","(0,0,0)","[(180,0, 90),(180,0,0)]",1,1,1
080_PILLBOTTLE_BASE1,0.063,0.135,0.063,0.07,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,90,0),(180,0,90),(90,0,90)]",1,1,1
080_PILLBOTTLE_BASE2,0.063,0.135,0.063,0.07,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,90,0),(180,0,90),(90,0,90)]",1,1,1
080_PILLBOTTLE_BASE3,0.07,0.135,0.07,0.07,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,90,0),(180,0,90),(90,0,90)]",1,1,1
080_PILLBOTTLE_BASE4,0.063,0.135,0.063,0.07,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,90,0),(180,0,90),(90,0,90)]",1,1,1
080_PILLBOTTLE_BASE5,0.055,0.135,0.055,0.07,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,90,0),(180,0,90),(90,0,90)]",1,1,1
102_ROLLER_BASE0,0.035,0.034,0.193,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
102_ROLLER_BASE1,0.041,0.035,0.191,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
102_ROLLER_BASE2,0.193,0.031,0.032,0.1,"(0,0,0)","(0,0,0)","[(180, 0, 0),(180,0,90)]",1,1,1
001_PLASTICBOTTLE_BASE0,0.07,0.07,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE1,0.08,0.08,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE2,0.06,0.06,0.24,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE3,0.07,0.07,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE4,0.07,0.07,0.26,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE5,0.08,0.08,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE6,0.09,0.09,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE7,0.08,0.08,0.28,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE8,0.07,0.07,0.21,0.12,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
001_PLASTICBOTTLE_BASE9,0.07,0.07,0.23,0.15,"(0,0,0)","(0,0,0)","[(0, 0, 0), (0,0,90)]",1,1,0.7
