Model ID,X,Z,Y,scale_x/y/z,SPARSE_ORIENT,STACK_ORIENT,DENSE_ORIENT,SPARSE_SCALE,STACK_SCALE,DENSE_SCALE
057_TOYCAR_BASE4,0.107,0.099,0.172,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
057_TOYCAR_BASE5,0.102,0.085,0.171,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE0,0.21,0.075,0.161,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE1,0.195,0.07,0.195,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE2,0.23,0.13,0.23,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE3,0.21,0.075,0.18,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE4,0.22,0.094,0.17,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE5,0.22,0.076,0.16,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE6,0.22,0.082,0.15,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE7,0.23,0.074,0.13,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE8,0.22,0.15,0.17,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE9,0.22,0.092,0.15,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
062_PLASTICBOX_BASE10,0.22,0.087,0.16,0.12,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE0,0.15,0.13,0.15,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE1,0.14,0.14,0.15,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE2,0.11,0.15,0.1,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE3,0.15,0.14,0.15,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE4,0.12,0.14,0.12,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE5,0.08,0.15,0.1,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE6,0.15,0.07,0.1,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE7,0.11,0.15,0.11,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE8,0.1,0.15,0.11,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE9,0.125,0.15,0.125,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
063_TABLETRASHBIN_BASE10,0.09,0.15,0.085,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
064_MSG_BASE0,0.088,0.194,0.088,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
064_MSG_BASE1,0.12,0.15,0.12,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
064_MSG_BASE2,0.078,0.15,0.078,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
064_MSG_BASE3,0.078,0.15,0.078,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
064_MSG_BASE4,0.09,0.15,0.09,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
064_MSG_BASE5,0.11,0.15,0.11,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
065_SOYSAUCE_BASE0,0.06,0.255,0.06,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
065_SOYSAUCE_BASE1,0.09,0.254,0.09,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
065_SOYSAUCE_BASE2,0.115,0.254,0.115,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
065_SOYSAUCE_BASE3,0.09,0.27,0.09,0.9,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
065_SOYSAUCE_BASE4,0.082,0.153,0.083,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
066_VINEGAR_BASE0,0.09,0.24,0.09,0.8,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
066_VINEGAR_BASE1,0.088,0.255,0.088,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
066_VINEGAR_BASE2,0.1,0.255,0.11,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
086_WOODENBLOCK_BASE0,0.102,0.102,0.102,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
086_WOODENBLOCK_BASE1,0.071,0.12,0.071,1.2,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
086_WOODENBLOCK_BASE2,0.131,0.131,0.061,1.2,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
086_WOODENBLOCK_BASE3,0.151,0.052,0.037,1,"(0,0,0)","(90,0,0)","(0,0,0)",1,0.8,1
086_WOODENBLOCK_BASE4,0.121,0.153,0.122,1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
087_WATERER_BASE0,0.101,0.101,0.207,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
087_WATERER_BASE1,0.101,0.101,0.204,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
087_WATERER_BASE2,0.072,0.142,0.201,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
087_WATERER_BASE3,0.12,0.135,0.218,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
087_WATERER_BASE4,0.081,0.135,0.218,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
087_WATERER_BASE5,0.086,0.135,0.195,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
087_WATERER_BASE6,0.079,0.125,0.185,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
087_WATERER_BASE7,0.08,0.135,0.185,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
088_WINEGLASS_BASE0,0.115,0.2,0.115,0.8,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
088_WINEGLASS_BASE1,0.06,0.2,0.06,0.8,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
088_WINEGLASS_BASE2,0.072,0.2,0.072,0.8,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
088_WINEGLASS_BASE3,0.072,0.18,0.072,0.6,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
088_WINEGLASS_BASE4,0.086,0.195,0.086,0.8,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
095_GLUE_BASE0,0.065,0.194,0.065,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
095_GLUE_BASE1,0.065,0.192,0.065,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
095_GLUE_BASE2,0.068,0.193,0.068,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
095_GLUE_BASE4,0.08,0.192,0.05,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
095_GLUE_BASE5,0.063,0.193,0.063,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
095_GLUE_BASE6,0.054,0.193,0.054,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
099_FAN_BASE0,0.104,0.16,0.088,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
099_FAN_BASE1,0.135,0.155,0.118,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
099_FAN_BASE2,0.135,0.16,0.115,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
099_FAN_BASE3,0.128,0.155,0.102,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
099_FAN_BASE4,0.112,0.152,0.08,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
099_FAN_BASE5,0.128,0.16,0.104,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
099_FAN_BASE6,0.136,0.154,0.096,0.08,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
117_WHITEBOARD_ERASER_BASE0,0.114,0.02,0.06,0.06,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
094_REST_BASE0,0.193,0.089,0.024,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
094_REST_BASE1,0.193,0.071,0.03,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
094_REST_BASE2,0.192,0.091,0.062,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
094_REST_BASE3,0.071,0.106,0.193,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
080_PILLBOTTLE_BASE1,0.063,0.135,0.063,0.07,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
080_PILLBOTTLE_BASE2,0.063,0.135,0.063,0.07,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
080_PILLBOTTLE_BASE3,0.07,0.135,0.07,0.07,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
080_PILLBOTTLE_BASE4,0.063,0.135,0.063,0.07,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
080_PILLBOTTLE_BASE5,0.055,0.135,0.055,0.07,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
102_ROLLER_BASE0,0.035,0.034,0.193,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
102_ROLLER_BASE1,0.041,0.035,0.191,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
102_ROLLER_BASE2,0.193,0.031,0.032,0.1,"(0,0,0)","(0,0,0)","(0,0,0)",1,1,1
